start run api module
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /user/login               --> gochat/api/handler.Login (4 handlers)
[GIN-debug] POST   /user/register            --> gochat/api/handler.Register (4 handlers)
[GIN-debug] POST   /user/checkAuth           --> gochat/api/handler.CheckAuth (5 handlers)
[GIN-debug] POST   /user/logout              --> gochat/api/handler.Logout (5 handlers)
[GIN-debug] POST   /push/push                --> gochat/api/handler.Push (5 handlers)
[GIN-debug] POST   /push/pushRoom            --> gochat/api/handler.PushRoom (5 handlers)
[GIN-debug] POST   /push/count               --> gochat/api/handler.Count (5 handlers)
[GIN-debug] POST   /push/getRoomInfo         --> gochat/api/handler.GetRoomInfo (5 handlers)
time="2023-07-22T19:34:02+08:00" level=info msg="server start , now run mode is debug" func="gochat/api.(*Chat).Run" file="/Users/hushuang/project/gochat/api/chat.go:35"
[GIN] 2023/07/22 - 19:34:06 | 200 |   30.326217ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   31.711929ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   14.362726ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   10.555518ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   14.314152ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   14.839266ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   14.352359ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   10.937613ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   12.482728ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   19.120062ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   18.895358ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   18.208419ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   14.388823ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   22.331751ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   25.305733ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   26.568179ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    9.755992ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   20.746419ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   21.061987ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   20.906228ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   21.771099ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   19.597507ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   20.020607ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    6.667944ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   10.045986ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   10.993514ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   10.848271ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    7.832004ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   13.504004ms |       127.0.0.1 | POST     "/push/pushRoom"
